edition;report_type;measure_name;state_name;rank;value;score;lower_CI;upper_CI;source
2022;2022 Senior;Able-bodied;Alaska;32;66.2;-0.09;69.5;62.9;AHR data
2022;2022 Senior;Able-bodied;Alabama;44;61.7;-1.48;62.7;60.7;AHR data
2022;2022 Senior;Able-bodied;United States;;66.5;;66.6;66.4;AHR data
2022;2022 Senior;Able-bodied;Arkansas;49;58.8;-2;60.2;57.4;AHR data
2022;2022 Senior;Able-bodied;Arizona;22;67;0.15;67.8;66.2;AHR data
2022;2022 Senior;Able-bodied;California;28;66.5;0;66.9;66.1;AHR data
2022;2022 Senior;Able-bodied;Colorado;5;69.9;1.05;70.7;69.1;AHR data
2022;2022 Senior;Able-bodied;Connecticut;3;70.2;1.14;71.4;69;AHR data
2022;2022 Senior;Able-bodied;District of Columbia;;65.3;;68.3;62.3;AHR data
2022;2022 Senior;Able-bodied;Delaware;10;69;0.77;71;67;AHR data
2022;2022 Senior;Able-bodied;Florida;18;67.6;0.34;68.1;67.1;AHR data
2022;2022 Senior;Able-bodied;Georgia;38;65.1;-0.43;65.9;64.3;AHR data
2022;2022 Senior;Able-bodied;Hawaii;28;66.5;0;68.3;64.7;AHR data
2022;2022 Senior;Able-bodied;Iowa;11;68.9;0.74;70;67.8;AHR data
2022;2022 Senior;Able-bodied;Idaho;37;65.4;-0.34;67.1;63.7;AHR data
2022;2022 Senior;Able-bodied;Illinois;14;68.3;0.56;69;67.6;AHR data
2022;2022 Senior;Able-bodied;Indiana;35;65.9;-0.19;66.6;65.2;AHR data
2022;2022 Senior;Able-bodied;Kansas;30;66.4;-0.03;67.5;65.3;AHR data
2022;2022 Senior;Able-bodied;Kentucky;46;60.7;-1.79;61.9;59.5;AHR data
2022;2022 Senior;Able-bodied;Louisiana;45;61.4;-1.58;62.7;60.1;AHR data
2022;2022 Senior;Able-bodied;Massachusetts;8;69.2;0.83;70;68.4;AHR data
2022;2022 Senior;Able-bodied;Maryland;7;69.7;0.99;70.5;68.9;AHR data
2022;2022 Senior;Able-bodied;Maine;24;66.7;0.06;68.1;65.3;AHR data
2022;2022 Senior;Able-bodied;Michigan;24;66.7;0.06;67.2;66.2;AHR data
2022;2022 Senior;Able-bodied;Minnesota;2;70.8;1.33;71.5;70.1;AHR data
2022;2022 Senior;Able-bodied;Missouri;40;64.5;-0.62;65.5;63.5;AHR data
2022;2022 Senior;Able-bodied;Mississippi;47;59.1;-2;60.5;57.7;AHR data
2022;2022 Senior;Able-bodied;Montana;24;66.7;0.06;68.6;64.8;AHR data
2022;2022 Senior;Able-bodied;North Carolina;31;66.3;-0.06;67;65.6;AHR data
2022;2022 Senior;Able-bodied;North Dakota;23;66.8;0.09;69.4;64.2;AHR data
2022;2022 Senior;Able-bodied;Nebraska;16;67.8;0.4;69.2;66.4;AHR data
2022;2022 Senior;Able-bodied;New Hampshire;9;69.1;0.8;71;67.2;AHR data
2022;2022 Senior;Able-bodied;New Jersey;1;71;1.39;71.8;70.2;AHR data
2022;2022 Senior;Able-bodied;New Mexico;42;62.7;-1.17;64.1;61.3;AHR data
2022;2022 Senior;Able-bodied;Nevada;36;65.6;-0.28;66.9;64.3;AHR data
2022;2022 Senior;Able-bodied;New York;13;68.5;0.62;69;68;AHR data
2022;2022 Senior;Able-bodied;Ohio;24;66.7;0.06;67.3;66.1;AHR data
2022;2022 Senior;Able-bodied;Oklahoma;48;59;-2;60;58;AHR data
2022;2022 Senior;Able-bodied;Oregon;38;65.1;-0.43;66.2;64;AHR data
2022;2022 Senior;Able-bodied;Pennsylvania;16;67.8;0.4;68.3;67.3;AHR data
2022;2022 Senior;Able-bodied;Rhode Island;4;70;1.08;72.4;67.6;AHR data
2022;2022 Senior;Able-bodied;South Carolina;34;66;-0.15;67.1;64.9;AHR data
2022;2022 Senior;Able-bodied;South Dakota;20;67.5;0.31;69.5;65.5;AHR data
2022;2022 Senior;Able-bodied;Tennessee;43;62.1;-1.36;63.1;61.1;AHR data
2022;2022 Senior;Able-bodied;Texas;41;64.2;-0.71;64.7;63.7;AHR data
2022;2022 Senior;Able-bodied;Utah;12;68.8;0.71;70.3;67.3;AHR data
2022;2022 Senior;Able-bodied;Virginia;21;67.4;0.28;68.4;66.4;AHR data
2022;2022 Senior;Able-bodied;Vermont;14;68.3;0.56;70.6;66;AHR data
2022;2022 Senior;Able-bodied;Washington;33;66.1;-0.12;66.9;65.3;AHR data
2022;2022 Senior;Able-bodied;Wisconsin;5;69.9;1.05;70.7;69.1;AHR data
2022;2022 Senior;Able-bodied;West Virginia;50;58.4;-2;60.1;56.7;AHR data
2022;2022 Senior;Able-bodied;Wyoming;18;67.6;0.34;70.6;64.6;AHR data
2022;2022 Senior;Access to Care - Senior;Alaska;38;-0.557;-0.557;;;AHR data
2022;2022 Senior;Access to Care - Senior;Alabama;28;-0.34;-0.34;;;AHR data
2022;2022 Senior;Access to Care - Senior;Arkansas;36;-0.49;-0.49;;;AHR data
2022;2022 Senior;Access to Care - Senior;Arizona;26;-0.19;-0.19;;;AHR data
2022;2022 Senior;Access to Care - Senior;California;4;0.877;0.877;;;AHR data
2022;2022 Senior;Access to Care - Senior;Colorado;16;0.02;0.02;;;AHR data
2022;2022 Senior;Access to Care - Senior;Connecticut;2;1.167;1.167;;;AHR data
2022;2022 Senior;Access to Care - Senior;Delaware;33;-0.447;-0.447;;;AHR data
2022;2022 Senior;Access to Care - Senior;Florida;35;-0.477;-0.477;;;AHR data
2022;2022 Senior;Access to Care - Senior;Georgia;46;-0.933;-0.933;;;AHR data
2022;2022 Senior;Access to Care - Senior;Hawaii;18;-0.003;-0.003;;;AHR data
2022;2022 Senior;Access to Care - Senior;Iowa;25;-0.177;-0.177;;;AHR data
2022;2022 Senior;Access to Care - Senior;Idaho;31;-0.4;-0.4;;;AHR data
2022;2022 Senior;Access to Care - Senior;Illinois;47;-1;-1;;;AHR data
2022;2022 Senior;Access to Care - Senior;Indiana;19;-0.03;-0.03;;;AHR data
2022;2022 Senior;Access to Care - Senior;Kansas;14;0.067;0.067;;;AHR data
2022;2022 Senior;Access to Care - Senior;Kentucky;43;-0.783;-0.783;;;AHR data
2022;2022 Senior;Access to Care - Senior;Louisiana;49;-1.053;-1.053;;;AHR data
2022;2022 Senior;Access to Care - Senior;Massachusetts;3;1.09;1.09;;;AHR data
2022;2022 Senior;Access to Care - Senior;Maryland;9;0.31;0.31;;;AHR data
2022;2022 Senior;Access to Care - Senior;Maine;11;0.27;0.27;;;AHR data
2022;2022 Senior;Access to Care - Senior;Michigan;15;0.03;0.03;;;AHR data
2022;2022 Senior;Access to Care - Senior;Minnesota;1;1.817;1.817;;;AHR data
2022;2022 Senior;Access to Care - Senior;Missouri;12;0.16;0.16;;;AHR data
2022;2022 Senior;Access to Care - Senior;Mississippi;48;-1.027;-1.027;;;AHR data
2022;2022 Senior;Access to Care - Senior;Montana;30;-0.397;-0.397;;;AHR data
2022;2022 Senior;Access to Care - Senior;North Carolina;34;-0.47;-0.47;;;AHR data
2022;2022 Senior;Access to Care - Senior;North Dakota;22;-0.133;-0.133;;;AHR data
2022;2022 Senior;Access to Care - Senior;Nebraska;21;-0.107;-0.107;;;AHR data
2022;2022 Senior;Access to Care - Senior;New Hampshire;32;-0.437;-0.437;;;AHR data
2022;2022 Senior;Access to Care - Senior;New Jersey;24;-0.167;-0.167;;;AHR data
2022;2022 Senior;Access to Care - Senior;New Mexico;7;0.46;0.46;;;AHR data
2022;2022 Senior;Access to Care - Senior;Nevada;40;-0.643;-0.643;;;AHR data
2022;2022 Senior;Access to Care - Senior;New York;10;0.297;0.297;;;AHR data
2022;2022 Senior;Access to Care - Senior;Ohio;20;-0.073;-0.073;;;AHR data
2022;2022 Senior;Access to Care - Senior;Oklahoma;50;-1.083;-1.083;;;AHR data
2022;2022 Senior;Access to Care - Senior;Oregon;29;-0.357;-0.357;;;AHR data
2022;2022 Senior;Access to Care - Senior;Pennsylvania;6;0.597;0.597;;;AHR data
2022;2022 Senior;Access to Care - Senior;Rhode Island;5;0.78;0.78;;;AHR data
2022;2022 Senior;Access to Care - Senior;South Carolina;44;-0.847;-0.847;;;AHR data
2022;2022 Senior;Access to Care - Senior;South Dakota;39;-0.64;-0.64;;;AHR data
2022;2022 Senior;Access to Care - Senior;Tennessee;45;-0.903;-0.903;;;AHR data
2022;2022 Senior;Access to Care - Senior;Texas;17;0.007;0.007;;;AHR data
2022;2022 Senior;Access to Care - Senior;Utah;37;-0.51;-0.51;;;AHR data
2022;2022 Senior;Access to Care - Senior;Virginia;27;-0.247;-0.247;;;AHR data
2022;2022 Senior;Access to Care - Senior;Vermont;13;0.093;0.093;;;AHR data
2022;2022 Senior;Access to Care - Senior;Washington;23;-0.163;-0.163;;;AHR data
2022;2022 Senior;Access to Care - Senior;Wisconsin;8;0.327;0.327;;;AHR data
2022;2022 Senior;Access to Care - Senior;West Virginia;41;-0.693;-0.693;;;AHR data
2022;2022 Senior;Access to Care - Senior;Wyoming;42;-0.7;-0.7;;;AHR data
2022;2022 Senior;Access to Care - Senior;United States;;;;;;AHR data
2022;2022 Senior;Access to Care - Senior;District of Columbia;;;;;;AHR data
2022;2022 Senior;Air and Water Quality - Senior;Alaska;45;-0.44;-0.44;;;AHR data
